"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-Commerce","0","Shopping Cart Management","3","0","","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Verify price filter functionality","0"
"2","","3","","19","0","","0"
"0","Blog Comments","0","Submit Comments to Blog Posts","4","0","Parameterized Blog Comment Test","0"
"0","E-Commerce Checkout","0","Checkout with valid login","1","0","User checks out with already logged-in credentials","0"
"0","E-Commerce Search Tests","0","Search Functionality","2","0","Sort products by name","0"
"0","Address Management","1","Add New Address","3","0","Form Submission Validation","0"
"0","E-Commerce Checkout","0","Checkout with valid address","2","0","User fills in another valid address","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Search with correct keywords","0"
"0","E-Commerce Checkout","0","Cart Management","1","0","User removes item from cart","0"
"0","Authentication","0","Login Feature","1","0","test logout","0"
"0","E-Commerce Checkout","0","Product Price Validation","1","0","User verifies product pricing","0"
"0","Authentication","0","Login Feature","1","0","Invalid Login - Email","0"
"0","E-Commerce Search Tests","0","Search Functionality","2","0","Sort products by price","0"
"0","E-Commerce Checkout","0","Cart Quantity","1","0","User changes quantity in cart","0"
"0","E-Commerce Checkout","0","Checkout with invalid address","1","0","User tries another invalid billing data","0"
"0","E-Commerce Wishlist Tests","0","Wishlist Functionality","1","0","Add from wishlist to cart","0"
"0","E-Commerce Search Tests","1","Search Functionality","0","0","Validate search results","0"
"0","E-Commerce Wishlist Tests","0","Wishlist Functionality","1","0","Remove item from wishlist","0"
"0","E-Commerce Checkout","0","Checkout with invalid address","1","0","User tries invalid billing data","0"
"0","Authentication","0","Login Feature","1","0","Valid Login","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Filter products using all options","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Filter using sliders","0"
"0","Authentication","0","Login Feature","1","0","Invalid Login - Password","0"
"0","E-Commerce Wishlist Tests","0","Wishlist Functionality","1","0","Navigate from wishlist using continue button","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Filter using input fields","0"
"0","E-Commerce Search Tests","0","Search Functionality","1","0","Handle invalid search","0"
