"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Submit blog comment form with valid and invalid data from JSON and assert result accordingly","6145","Submit blog comments with various datasets","Ecommerce Suite","Wed Apr 23 02:27:34 EET 2025","passed","Wed Apr 23 02:27:40 EET 2025","tests.BlogTests","test","tests.BlogTests","testBlogComment"
"Submits the address form with different JSON datasets and verifies the result","7528","Test address form with various datasets","Ecommerce Suite","Wed Apr 23 02:26:39 EET 2025","passed","Wed Apr 23 02:26:47 EET 2025","tests.AddressTests","test","tests.AddressTests","testAddressForm"
"","9982","testAddingReview","Ecommerce Suite","Wed Apr 23 02:35:17 EET 2025","passed","Wed Apr 23 02:35:27 EET 2025","tests.ProductTests","test","tests.ProductTests","testAddingReview"
"Verify that the user can change the quantity of a product in the shopping cart","1635","Change quantity of an item in the cart","Ecommerce Suite","Wed Apr 23 02:32:27 EET 2025","passed","Wed Apr 23 02:32:28 EET 2025","tests.ShoppingCartTests","test","tests.ShoppingCartTests","changeQuantity"
"","5345","Search using valid product name","Ecommerce Suite","Wed Apr 23 02:33:36 EET 2025","passed","Wed Apr 23 02:33:41 EET 2025","tests.SeachTests","test","tests.SeachTests","searchValidProduct"
"Submits the address form with different JSON datasets and verifies the result","8205","Test address form with various datasets","Ecommerce Suite","Wed Apr 23 02:26:26 EET 2025","passed","Wed Apr 23 02:26:34 EET 2025","tests.AddressTests","test","tests.AddressTests","testAddressForm"
"","9528","testAddingReview","Ecommerce Suite","Wed Apr 23 02:36:03 EET 2025","passed","Wed Apr 23 02:36:12 EET 2025","tests.ProductTests","test","tests.ProductTests","testAddingReview"
"","14544","validSignUpTest","Ecommerce Suite","Wed Apr 23 02:25:25 EET 2025","passed","Wed Apr 23 02:25:39 EET 2025","tests.SingUpTests","test","tests.SingUpTests","validSignUpTest"
"","11570","invalidSignUpTest","Ecommerce Suite","Wed Apr 23 02:24:16 EET 2025","failed","Wed Apr 23 02:24:27 EET 2025","tests.SingUpTests","test","tests.SingUpTests","invalidSignUpTest"
"Checks unit and total price equality for single item","327","testProductPrices","Ecommerce Suite","Wed Apr 23 02:30:40 EET 2025","passed","Wed Apr 23 02:30:41 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","testProductPrices"
"","4463","Check ascending name sorting","Ecommerce Suite","Wed Apr 23 02:34:02 EET 2025","passed","Wed Apr 23 02:34:06 EET 2025","tests.SeachTests","test","tests.SeachTests","testAscNameSorted"
"User logs in and fills a different valid billing address","11269","checkoutWithAnothorValid1Address","Ecommerce Suite","Wed Apr 23 02:29:34 EET 2025","passed","Wed Apr 23 02:29:45 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","checkoutWithAnothorValid1Address"
"Verify clicking 'Continue' button takes user to account page.","13563","Click continue button from wishlist","Ecommerce Suite","Wed Apr 23 02:36:46 EET 2025","passed","Wed Apr 23 02:37:00 EET 2025","tests.WishlistTests","test","tests.WishlistTests","checkContinue"
"","5381","testCollectionAddToCart","Ecommerce Suite","Wed Apr 23 02:32:48 EET 2025","passed","Wed Apr 23 02:32:54 EET 2025","tests.HomePageTests","test","tests.HomePageTests","testCollectionAddToCart"
"User removes item from shopping cart","399","removeElement","Ecommerce Suite","Wed Apr 23 02:30:31 EET 2025","passed","Wed Apr 23 02:30:32 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","removeElement"
"","3441","testInvalidData4","Ecommerce Suite","Wed Apr 23 02:31:35 EET 2025","passed","Wed Apr 23 02:31:39 EET 2025","tests.PasswordTests","test","tests.PasswordTests","testInvalidData4"
"","3826","Change max and min prices using sliders","Ecommerce Suite","Wed Apr 23 02:33:31 EET 2025","passed","Wed Apr 23 02:33:35 EET 2025","tests.SeachTests","test","tests.SeachTests","changeMaxPriceUsingSlider"
"","3590","testInvalidData3","Ecommerce Suite","Wed Apr 23 02:31:25 EET 2025","passed","Wed Apr 23 02:31:29 EET 2025","tests.PasswordTests","test","tests.PasswordTests","testInvalidData3"
"","8359","testcompareFromSpecificPage","Ecommerce Suite","Wed Apr 23 02:36:13 EET 2025","passed","Wed Apr 23 02:36:22 EET 2025","tests.ProductTests","test","tests.ProductTests","testcompareFromSpecificPage"
"Test login with valid email and password","11575","testValidLogin","Ecommerce Suite","Wed Apr 23 02:23:23 EET 2025","passed","Wed Apr 23 02:23:35 EET 2025","tests.LoginTest","test","tests.LoginTest","testValidLogin"
"","18437","testAddingReview","Ecommerce Suite","Wed Apr 23 02:35:43 EET 2025","passed","Wed Apr 23 02:36:01 EET 2025","tests.ProductTests","test","tests.ProductTests","testAddingReview"
"test logout after login","9402","testLogout","Ecommerce Suite","Wed Apr 23 02:23:53 EET 2025","passed","Wed Apr 23 02:24:03 EET 2025","tests.LoginTest","test","tests.LoginTest","testLogout"
"","10562","signUpWithExistingEmail","Ecommerce Suite","Wed Apr 23 02:25:13 EET 2025","passed","Wed Apr 23 02:25:24 EET 2025","tests.SingUpTests","test","tests.SingUpTests","signUpWithExistingEmail"
"Submits the address form with different JSON datasets and verifies the result","6931","Test address form with various datasets","Ecommerce Suite","Wed Apr 23 02:26:53 EET 2025","passed","Wed Apr 23 02:27:00 EET 2025","tests.AddressTests","test","tests.AddressTests","testAddressForm"
"Submit blog comment form with valid and invalid data from JSON and assert result accordingly","8305","Submit blog comments with various datasets","Ecommerce Suite","Wed Apr 23 02:27:52 EET 2025","passed","Wed Apr 23 02:28:00 EET 2025","tests.BlogTests","test","tests.BlogTests","testBlogComment"
"Checks that checkout fails with incomplete billing data","8388","checkoutWithAnothorInValid1Address","Ecommerce Suite","Wed Apr 23 02:28:51 EET 2025","passed","Wed Apr 23 02:29:00 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","checkoutWithAnothorInValid1Address"
"","4071","Check descending price sorting","Ecommerce Suite","Wed Apr 23 02:34:12 EET 2025","passed","Wed Apr 23 02:34:16 EET 2025","tests.SeachTests","test","tests.SeachTests","testDescPriceSorted"
"","8824","invalidSignUpTest","Ecommerce Suite","Wed Apr 23 02:24:28 EET 2025","failed","Wed Apr 23 02:24:37 EET 2025","tests.SingUpTests","test","tests.SingUpTests","invalidSignUpTest"
"","9191","invalidSignUpTest","Ecommerce Suite","Wed Apr 23 02:24:38 EET 2025","failed","Wed Apr 23 02:24:47 EET 2025","tests.SingUpTests","test","tests.SingUpTests","invalidSignUpTest"
"Ensure that a product can be removed from wishlist successfully.","7556","Remove product from wishlist and validate success alert","Ecommerce Suite","Wed Apr 23 02:37:01 EET 2025","passed","Wed Apr 23 02:37:08 EET 2025","tests.WishlistTests","test","tests.WishlistTests","removeProductFromWishlist"
"","21034","changQuantity","Ecommerce Suite","Wed Apr 23 02:34:41 EET 2025","passed","Wed Apr 23 02:35:02 EET 2025","tests.ProductTests","test","tests.ProductTests","changQuantity"
"Validate product is added to cart and redirected to checkout page.","8388","Add product to cart from wishlist and go to checkout","Ecommerce Suite","Wed Apr 23 02:37:09 EET 2025","passed","Wed Apr 23 02:37:18 EET 2025","tests.WishlistTests","test","tests.WishlistTests","checkAddCartAndCheckout"
"","12383","testAddToCartFromSpecificPage","Ecommerce Suite","Wed Apr 23 02:35:03 EET 2025","passed","Wed Apr 23 02:35:15 EET 2025","tests.ProductTests","test","tests.ProductTests","testAddToCartFromSpecificPage"
"","4120","testNavigateToBlogAuthor","Ecommerce Suite","Wed Apr 23 02:33:01 EET 2025","passed","Wed Apr 23 02:33:05 EET 2025","tests.HomePageTests","test","tests.HomePageTests","testNavigateToBlogAuthor"
"","4748","testTopProductAddToCart","Ecommerce Suite","Wed Apr 23 02:33:06 EET 2025","passed","Wed Apr 23 02:33:11 EET 2025","tests.HomePageTests","test","tests.HomePageTests","testTopProductAddToCart"
"Check that each product in the cart displays a valid price","343","Validate price for all products in the cart","Ecommerce Suite","Wed Apr 23 02:32:36 EET 2025","passed","Wed Apr 23 02:32:36 EET 2025","tests.ShoppingCartTests","test","tests.ShoppingCartTests","testProductPrices"
"Test login with invalid email and valid password","8398","invalidLoginEmail","Ecommerce Suite","Wed Apr 23 02:23:36 EET 2025","passed","Wed Apr 23 02:23:44 EET 2025","tests.LoginTest","test","tests.LoginTest","invalidLoginEmail"
"","9458","Change max and min prices using text fields","Ecommerce Suite","Wed Apr 23 02:33:21 EET 2025","passed","Wed Apr 23 02:33:30 EET 2025","tests.SeachTests","test","tests.SeachTests","changeMaxPriceUsingFileds"
"","5270","Check descending name sorting","Ecommerce Suite","Wed Apr 23 02:34:21 EET 2025","passed","Wed Apr 23 02:34:26 EET 2025","tests.SeachTests","test","tests.SeachTests","testReverseNameSorted"
"","3534","testValidData1","Ecommerce Suite","Wed Apr 23 02:31:43 EET 2025","passed","Wed Apr 23 02:31:47 EET 2025","tests.PasswordTests","test","tests.PasswordTests","testValidData1"
"","8271","Apply all filters","Ecommerce Suite","Wed Apr 23 02:33:52 EET 2025","passed","Wed Apr 23 02:34:01 EET 2025","tests.SeachTests","test","tests.SeachTests","testAll"
"Checks that checkout fails when fields are missing","9569","checkoutWithAnothorInValid2Address","Ecommerce Suite","Wed Apr 23 02:29:09 EET 2025","passed","Wed Apr 23 02:29:19 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","checkoutWithAnothorInValid2Address"
"Submits the address form with different JSON datasets and verifies the result","8109","Test address form with various datasets","Ecommerce Suite","Wed Apr 23 02:27:07 EET 2025","failed","Wed Apr 23 02:27:15 EET 2025","tests.AddressTests","test","tests.AddressTests","testAddressForm"
"Verify that the user can remove a product from the shopping cart","881","Remove item from the cart","Ecommerce Suite","Wed Apr 23 02:32:18 EET 2025","passed","Wed Apr 23 02:32:19 EET 2025","tests.ShoppingCartTests","test","tests.ShoppingCartTests","removeElement"
"User updates the quantity in the shopping cart","690","changeQuantitye","Ecommerce Suite","Wed Apr 23 02:28:41 EET 2025","passed","Wed Apr 23 02:28:41 EET 2025","tests.CheckoutTests","test","tests.CheckoutTests","changeQuantitye"
